recipie_name,recipie_version
makedumpfile,1.6.2
audit,2.7.1
openssh,7.6p1
libxml2,2.9.7
base-files,3.0.14
base-passwd,3.5.29
util-linux,2.32
ncurses,6.0+20171125
expat,2.2.5
busybox,1.27.2
readline,7.0
initscripts,1.0
pciutils,3.5.6
perl,5.24.1
gcc-runtime,7.3
rpm,4.14.1
elfutils,0.170
python3,3.5.5
net-tools,1.60-26
procps,3.3.12
xz,5.2.3
rpcbind,0.2.4
ethtool,4.13
libtirpc,1.0.2
libidn,1.33
popt,1.16
gmp,6.1.2
liburcu,0.10.1
gdbm,1.14.1
sqlite3,3.22.0
acl,2.2.52
attr,2.4.47
nettle,3.4
gnutls,3.6.1
db,5.3.28
libcap-ng,0.7.8
libcap,2.25
libgcrypt,1.8.2
libgpg-error,1.27
kexec-tools,2.0.16
lttng-ust,2.10.1
babeltrace,1.5.6
zeromq,4.2.5
krb5,1.16
mosquitto,1.4.14
lua,5.3.4
protobuf,3.5.1
protobuf-c,1.3.0
grpc,1.8.5
gflags,2.2.0
openldap,2.4.45
gtest,1.8.0
makedumpfile,1.6.2
net-snmp,5.7.3
mosquitto,1.4.15
ifenslave,1.1.0
tcpdump,4.9.2
fuse,2.9.7
